name,calories,protein,fat,carbohydrate,fiber,sugars,sodium,cholesterol,vitamin_c,calcium,category
"Pancakes, dry mix, special dietary",349,8.9,1.4,73.9,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Gourd, raw, dishcloth (towelgourd)",20,1.2,0.2,4.35,1.1,2.02,0.0,0.0,0.0,0.0,Low-Carb
"Babyfood, strained, peaches, fruit",65,0.94,0.33,14.48,1.3,11.5,0.0,0.0,0.0,0.0,Balanced
"Desserts, dry mix, vanilla, rennin",383,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Cereals ready-to-eat, KASHI GOLEAN",311,24.89,2.2,67.19,20.1,16.5,0.0,0.0,0.0,0.0,High-Fiber
"Tangerine juice, sweetened, canned",50,0.5,0.2,12.0,0.2,11.8,0.0,0.0,0.0,0.0,Balanced
"Wheat flour, enriched, cake, white",362,8.2,0.86,78.03,1.7,0.31,0.0,0.0,0.0,0.0,Balanced
"Oil, whale (Alaska Native), beluga",900,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Puff pastry, ready-to-bake, frozen",551,7.3,38.1,45.1,1.5,0.74,0.0,0.0,0.0,0.0,Balanced
"Kefir, LIFEWAY, strawberry, lowfat",62,3.39,0.9,10.2,0.0,9.21,0.0,0.0,0.0,0.0,Balanced
"Macaroni and cheese, frozen entree",149,5.6,6.41,17.28,1.1,1.53,0.0,0.0,0.0,0.0,Balanced
"Turkey from whole, raw, light meat",114,23.66,1.48,0.14,0.0,0.05,0.0,0.0,0.0,0.0,High-Protein
"Lemonade, pink, frozen concentrate",192,0.22,0.69,48.86,0.3,46.46,0.0,0.0,0.0,0.0,Balanced
"Mollusks, raw, mixed species, clam",86,14.67,0.96,3.57,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Macaroni, dry, enriched, vegetable",367,13.14,1.04,74.88,4.3,0.0,0.0,0.0,0.0,0.0,Balanced
"Seal, meat (Alaska Native), ringed",142,28.4,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Sea cucumber, yane (Alaska Native)",56,13.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"KEEBLER, Original, Saltines, ZESTA",418,8.2,9.0,76.1,2.5,1.6,0.0,0.0,0.0,0.0,Balanced
"Cranberry sauce, sweetened, canned",159,0.9,0.15,40.4,1.1,31.75,0.0,0.0,0.0,0.0,Balanced
"Focaccia, plain, Italian flatbread",249,8.77,7.89,35.82,1.8,1.75,0.0,0.0,0.0,0.0,Balanced
"CAMPBELL'S, condensed, Tomato Soup",71,1.46,0.44,15.22,1.1,8.23,0.0,0.0,0.0,0.0,Balanced
"Vitasoy USA, Nasoya Lite Firm Tofu",54,8.3,1.7,1.3,0.6,0.2,0.0,0.0,0.0,0.0,Low-Carb
"Soup, Chinese restaurant, egg drop",27,1.16,0.61,4.29,0.4,0.09,0.0,0.0,0.0,0.0,Low-Carb
"Nuts, roasted, japanese, chestnuts",201,2.97,0.8,45.13,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Cheese, swiss, pasteurized process",334,24.73,25.01,2.1,0.0,1.23,0.0,0.0,0.0,0.0,Balanced
"Macaroni and Cheese, canned entree",82,3.38,2.46,11.52,0.5,0.5,0.0,0.0,0.0,0.0,Balanced
"Asparagus, drained, boiled, cooked",22,2.4,0.22,4.11,2.0,1.3,0.0,0.0,0.0,0.0,Low-Carb
"Peanut butter with omega-3, creamy",608,24.47,54.17,17.0,6.1,3.11,0.0,0.0,0.0,0.0,High-Fiber
"Onions, solids and liquids, canned",19,0.85,0.09,4.02,1.2,2.2,0.0,0.0,0.0,0.0,Low-Carb
"Cheese, part skim milk, mozzarella",254,24.26,15.92,2.77,0.0,1.13,0.0,0.0,0.0,0.0,Low-Carb
"MOTHER'S, Coconut Cocadas Cookies",500,5.7,25.1,65.1,3.0,27.8,0.0,0.0,0.0,0.0,Balanced
"Cream substitute, light, powdered",431,1.9,15.7,73.4,0.0,73.4,0.0,0.0,0.0,0.0,Balanced
"Fast foods, with sausage, biscuit",371,9.67,24.42,29.99,0.4,1.59,0.0,0.0,0.0,0.0,Balanced
"Frybread, made with lard (Apache)",309,8.38,10.14,46.01,1.7,1.54,0.0,0.0,0.0,0.0,Balanced
"Snacks, plain, hard, granola bars",471,10.1,19.8,64.4,5.3,28.57,0.0,0.0,0.0,0.0,High-Fiber
"Taro shoots, without salt, cooked",14,0.73,0.08,3.2,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Fish, raw, farmed, rainbow, trout",141,19.94,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Mollusks, canned, eastern, oyster",68,7.06,2.47,3.91,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Restaurant, spanish rice, Mexican",185,3.28,5.29,31.16,1.2,1.3,0.0,0.0,0.0,0.0,Balanced
"Pork, cooked, rendered fat, bacon",898,0.07,99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Pork, baked, cooked, bacon, cured",548,35.73,43.27,1.35,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"KEEBLER, Onion Crackers, TOASTEDS",479,5.7,20.6,67.7,2.2,9.7,0.0,0.0,0.0,0.0,Balanced
"Walrus, raw (Alaska Native), meat",199,19.2,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Cake, dry mix, unenriched, yellow",432,4.4,11.6,78.1,1.1,0.0,0.0,0.0,0.0,0.0,Balanced
"Parmesan cheese topping, fat free",370,40.0,5.0,40.0,0.0,1.5,0.0,0.0,0.0,0.0,Balanced
"Fish, dry heat, cooked, sablefish",250,17.19,19.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Grapefruit, all areas, white, raw",33,0.69,0.1,8.41,1.1,7.31,0.0,0.0,0.0,0.0,Low-Carb
"Peas, raw, sprouted, mature seeds",124,8.8,0.68,27.11,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Babyfood, apple and cherry, juice",41,0.1,0.2,9.9,0.1,8.98,0.0,0.0,0.0,0.0,Low-Carb
"Nuts, roasted, chinese, chestnuts",239,4.48,1.19,52.36,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Candies, BUTTERFINGER Bar, NESTLE",459,5.4,18.9,72.9,2.0,45.9,0.0,0.0,0.0,0.0,Balanced
"MORI-NU, extra firm, silken, Tofu",55,7.4,1.9,2.0,0.1,0.99,0.0,0.0,0.0,0.0,Low-Carb
"Fish, raw, wild, channel, catfish",95,16.38,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Candies, vanilla with nuts, fudge",435,3.0,13.69,74.61,0.9,71.0,0.0,0.0,0.0,0.0,Balanced
"Fish, raw, mixed species, grouper",92,19.38,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Asparagus, drained solids, canned",19,2.14,0.65,2.46,1.6,1.06,0.0,0.0,0.0,0.0,Low-Carb
"Turkey, raw, all classes, gizzard",111,18.8,3.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"DENNY'S, mozzarella cheese sticks",324,13.56,17.87,27.22,1.6,2.83,0.0,0.0,0.0,0.0,Balanced
"Rice, cooked, medium-grain, brown",112,2.32,0.83,23.51,1.8,0.0,0.0,0.0,0.0,0.0,Balanced
"McDONALD'S, Peanuts (for Sundaes)",640,28.04,52.91,16.23,0.0,4.15,0.0,0.0,0.0,0.0,Balanced
"Chicken, raw, meat only, roasting",111,20.33,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"T.G.I. FRIDAY'S, fried mozzarella",333,15.82,18.76,25.33,2.2,1.45,0.0,0.0,0.0,0.0,Balanced
"Pie fillings, low calorie, cherry",53,0.82,0.16,11.98,1.2,9.15,0.0,0.0,0.0,0.0,Balanced
"Frybread, made with lard (Navajo)",330,6.69,12.22,48.26,0.0,2.03,0.0,0.0,0.0,0.0,Balanced
"Stew, hominy with mutton (Navajo)",83,6.71,2.06,9.38,2.0,0.11,0.0,0.0,0.0,0.0,Low-Carb
"PEPPERIDGE FARM, Deli Swirl Bread",247,0.01,3.1,44.7,4.7,2.8,0.0,0.0,0.0,0.0,Balanced
"Crackers, low sodium, toast thins",442,6.45,16.13,67.66,9.7,12.9,0.0,0.0,0.0,0.0,High-Fiber
"SMART SOUP, Santa Fe Corn Chowder",55,2.0,0.71,11.2,2.0,3.6,0.0,0.0,0.0,0.0,Balanced
"Beverages, ginger ale, carbonated",34,0.0,0.0,8.76,0.0,8.9,0.0,0.0,0.0,0.0,Low-Carb
"Danish pastry, enriched, cinnamon",403,7.0,22.4,44.6,1.3,19.78,0.0,0.0,0.0,0.0,Balanced
"Fish, raw, wild, Atlantic, salmon",142,19.84,6.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Bear, meat (Alaska Native), black",155,20.1,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Babyfood, toddler, dices, peaches",51,0.5,0.2,11.8,0.8,9.49,0.0,0.0,0.0,0.0,Balanced
"Potato puffs, oven-heated, frozen",192,2.13,9.05,27.29,2.0,0.27,0.0,0.0,0.0,0.0,Balanced
"NABISCO, NABISCO GRAHAMS Crackers",424,6.99,10.0,76.2,3.4,23.0,0.0,0.0,0.0,0.0,Balanced
"CARRABBA'S ITALIAN GRILL, lasagne",191,10.48,11.06,12.36,1.3,2.77,0.0,0.0,0.0,0.0,Balanced
"Pie, commercially prepared, pecan",407,4.5,16.69,59.61,2.1,25.18,0.0,0.0,0.0,0.0,Balanced
"Puddings, ready-to-eat, chocolate",142,2.09,4.6,23.01,0.0,17.17,0.0,0.0,0.0,0.0,Balanced
"Beef, chopped beef, smoked, cured",133,20.19,4.42,1.86,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Caribou, raw (Alaska Native), eye",326,10.8,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Pie, prepared from recipe, cherry",270,2.8,12.2,38.5,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Beverages, RED BULL, Energy drink",43,0.46,0.0,10.23,0.0,10.22,0.0,0.0,0.0,0.0,Balanced
"Yogurt, nonfat, strawberry, Greek",82,8.05,0.15,12.07,0.6,11.27,0.0,0.0,0.0,0.0,Balanced
"Yogurt, lowfat, strawberry, Greek",103,8.17,2.57,11.89,1.0,11.23,0.0,0.0,0.0,0.0,Balanced
"USDA Commodity, Flour Mix, Bakery",400,8.47,12.9,62.53,7.1,0.0,0.0,0.0,0.0,0.0,High-Fiber
"KEEBLER, Frosted Cookies, ANIMALS",506,3.0,24.1,70.0,0.9,41.1,0.0,0.0,0.0,0.0,Balanced
"Cheese, cheddar or colby, low fat",173,24.35,7.0,1.91,0.0,0.52,0.0,0.0,0.0,0.0,High-Protein
"Crustaceans, raw, dungeness, crab",86,17.41,0.97,0.74,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Fish, raw, yellowfin, fresh, tuna",109,24.4,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Bread, somiviki (Hopi), blue corn",186,3.1,1.53,39.84,3.6,12.94,0.0,0.0,0.0,0.0,Balanced
"Beans, canned, mature seeds, navy",113,7.53,0.43,20.45,5.1,0.28,0.0,0.0,0.0,0.0,High-Fiber
"Fish, raw, mixed species, snapper",100,20.51,1.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Cookies, lemon wafer, gluten-free",515,0.0,24.18,74.39,0.0,42.31,0.0,0.0,0.0,0.0,Balanced
"Potatoes, with salt, flesh, baked",93,1.96,0.1,21.55,1.5,1.7,0.0,0.0,0.0,0.0,Balanced
"Game meat, roasted, cooked, horse",175,28.14,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Alcoholic beverage, cooking, wine",50,0.5,0.0,6.3,0.0,1.55,0.0,0.0,0.0,0.0,Low-Carb
"Seeds, dried, whole, sesame seeds",573,17.73,49.67,23.45,11.8,0.3,0.0,0.0,0.0,0.0,High-Fiber
"Cheese, nonfat or fat free, Swiss",127,28.4,0.0,3.4,0.0,1.33,0.0,0.0,0.0,0.0,High-Protein
"Seeds, dried, breadnut tree seeds",367,8.62,1.68,79.39,14.9,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Turnip greens, unprepared, frozen",22,2.47,0.31,3.67,2.5,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Snacks, barbecue-flavor, cornnuts",436,9.0,14.3,71.7,8.4,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Beverages, unsweetened, rice milk",47,0.28,0.97,9.17,0.3,5.28,0.0,0.0,0.0,0.0,Low-Carb
"Chicken, fried, breaded, meatless",234,21.28,12.77,8.51,4.3,0.0,0.0,0.0,0.0,0.0,High-Protein
"Mollusks, baked or broiled, conch",130,26.3,1.2,1.7,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Taro, with salt, cooked, tahitian",44,4.16,0.68,6.85,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Frostings, dry mix, fluffy, white",371,2.3,0.0,94.9,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Apples, uncooked, sulfured, dried",243,0.93,0.32,65.89,8.7,57.19,0.0,0.0,0.0,0.0,High-Fiber
"Mouse nuts, roots (Alaska Native)",81,3.9,0.1,16.1,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Salad dressing, light, mayonnaise",238,0.37,22.22,9.23,0.0,3.56,0.0,0.0,0.0,0.0,Balanced
"Corn flour, white, enriched, masa",363,8.46,3.69,76.59,6.4,1.61,0.0,0.0,0.0,0.0,High-Fiber
"Buckwheat groats, cooked, roasted",92,3.38,0.62,19.94,2.7,0.9,0.0,0.0,0.0,0.0,Balanced
"Sweet potato, vacuum pack, canned",91,1.65,0.2,21.12,1.8,5.0,0.0,0.0,0.0,0.0,Balanced
"Orange juice, unsweetened, canned",47,0.68,0.15,11.01,0.3,8.76,0.0,0.0,0.0,0.0,Balanced
"Refried beans, vegetarian, canned",83,5.28,0.87,13.5,4.7,0.59,0.0,0.0,0.0,0.0,Balanced
"Game meat, roasted, cooked, moose",134,29.27,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Babyfood, strained, chicken, meat",130,13.7,7.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Peppers, freeze-dried, red, sweet",314,17.9,3.0,68.7,21.3,40.77,0.0,0.0,0.0,0.0,High-Fiber
"Strawberries, unsweetened, frozen",35,0.43,0.11,9.13,2.1,4.56,0.0,0.0,0.0,0.0,Low-Carb
"Kielbasa, pan-fried, fully cooked",333,12.36,29.43,4.78,0.0,2.38,0.0,0.0,0.0,0.0,Balanced
"Turkey, raw, meat and skin, whole",143,21.64,5.64,0.13,0.0,0.07,0.0,0.0,0.0,0.0,High-Protein
"Canadian bacon, pan-fried, cooked",146,28.31,2.78,1.8,0.0,1.2,0.0,0.0,0.0,0.0,High-Protein
"Yardlong beans, raw, mature seeds",347,24.33,1.31,61.91,11.0,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Tofu, salted and fermented (fuyu)",116,8.92,8.0,4.38,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Mush, blue corn with ash (Navajo)",54,0.66,0.49,11.74,1.1,0.19,0.0,0.0,0.0,0.0,Balanced
"Pate, canned, smoked, goose liver",462,11.4,43.84,4.67,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Beverages, powder, rich chocolate",372,0.0,0.0,92.96,0.0,81.82,0.0,0.0,0.0,0.0,Balanced
"BURGER KING, with cheese, WHOPPER",250,11.19,15.33,16.7,1.0,4.11,0.0,0.0,0.0,0.0,Balanced
"Gelatins, unsweetened, dry powder",335,85.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Oil, salad or cooking, cottonseed",884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Winged beans, raw, immature seeds",49,6.95,0.87,4.31,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Toppings, butterscotch or caramel",216,1.21,0.0,57.01,0.0,57.0,0.0,0.0,0.0,0.0,Balanced
"Fish, kippered, Atlantic, herring",217,24.58,12.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Oil, spotted seal (Alaska Native)",894,0.0,99.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Cranberry juice cocktail, bottled",54,0.0,0.1,13.52,0.0,11.87,0.0,0.0,0.0,0.0,Balanced
"Babyfood, orange and apple, juice",43,0.4,0.2,10.1,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Babyfood, prune and orange, juice",70,0.6,0.3,16.8,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Lasagna, prepared, frozen, cheese",130,6.54,5.33,13.84,1.7,4.23,0.0,0.0,0.0,0.0,Balanced
"KASHI, Sea Salt, Pita Crisps, TLC",381,10.5,9.2,72.4,14.7,5.4,0.0,0.0,0.0,0.0,High-Fiber
"Snacks, reduced fat, potato chips",471,7.1,20.8,66.9,5.9,0.22,0.0,0.0,0.0,0.0,High-Fiber
"MURRAY, Vanilla Wafer, SUGAR FREE",412,5.9,16.8,74.0,5.6,1.4,0.0,0.0,0.0,0.0,High-Fiber
"SPAGHETTIOS, SpaghettiOs Original",67,2.38,0.4,13.89,1.2,4.37,0.0,0.0,0.0,0.0,Balanced
"Soup, ready to serve, beef barley",52,2.81,0.96,7.94,0.9,1.22,0.0,0.0,0.0,0.0,Low-Carb
"Salad dressing, creamy, poppyseed",399,0.92,33.33,23.73,0.3,23.39,0.0,0.0,0.0,0.0,Balanced
"Dressing, fat-free, honey mustard",169,1.07,1.47,38.43,1.2,17.75,0.0,0.0,0.0,0.0,Balanced
"Mollusks, raw, unspecified, whelk",137,23.84,0.4,7.76,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Pie crust, dry mix, standard-type",518,6.9,31.4,52.1,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Beverages, grape soda, carbonated",43,0.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Mushrooms, drained solids, canned",25,1.87,0.29,5.09,2.4,2.34,0.0,0.0,0.0,0.0,Low-Carb
"Game meat, simmered, cooked, bear",259,32.42,13.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Rolls, plain, hamburger or hotdog",279,9.77,3.91,50.12,1.8,7.28,0.0,0.0,0.0,0.0,Balanced
"KASHI, Honey Sesame Crackers, TLC",398,8.7,10.4,72.2,5.8,16.1,0.0,0.0,0.0,0.0,High-Fiber
"Fish, raw, mixed species, whiting",90,18.31,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Leavening agents, cream of tartar",258,0.0,0.0,61.5,0.2,0.0,0.0,0.0,0.0,0.0,Balanced
"Beans, with franks, canned, baked",142,6.75,6.57,15.39,6.9,6.53,0.0,0.0,0.0,0.0,High-Fiber
"Fish, dry heat, cooked, swordfish",172,23.45,7.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Radishes, pickled, hawaiian style",28,1.1,0.3,5.2,2.2,2.0,0.0,0.0,0.0,0.0,Low-Carb
"Gravy, fat free, beef, CAMPBELL'S",25,1.69,0.0,5.08,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Blackberries, unsweetened, frozen",64,1.18,0.43,15.67,5.0,10.67,0.0,0.0,0.0,0.0,High-Fiber
"Onions, unprepared, whole, frozen",35,0.89,0.06,8.45,1.7,3.81,0.0,0.0,0.0,0.0,Low-Carb
"Puddings, regular, dry mix, lemon",363,0.1,0.5,91.8,0.1,0.0,0.0,0.0,0.0,0.0,Balanced
"Lasagna, baked, frozen, Vegetable",139,6.87,6.04,14.18,1.9,2.54,0.0,0.0,0.0,0.0,Balanced
"Puddings, instant, dry mix, lemon",378,0.0,0.7,95.4,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Beverages, ROCKSTAR, Energy drink",58,0.34,0.22,12.7,0.0,12.26,0.0,0.0,0.0,0.0,Balanced
SILK Banana-Strawberry soy yogurt,88,2.35,1.18,17.06,0.6,10.59,0.0,0.0,0.0,0.0,Balanced
"MOTHER'S, Chocolate Chip Cookies",490,5.7,22.0,67.6,1.7,32.9,0.0,0.0,0.0,0.0,Balanced
"Whipped topping, low fat, frozen",224,3.0,13.1,23.6,0.0,23.6,0.0,0.0,0.0,0.0,Balanced
"Vitasoy USA Azumaya, Silken Tofu",43,4.82,2.4,0.58,0.2,0.2,0.0,0.0,0.0,0.0,Low-Carb
"Ice cream, chocolate, soft serve",222,4.1,13.0,22.2,0.7,21.16,0.0,0.0,0.0,0.0,Balanced
"Moose, raw (Alaska Native), meat",103,22.3,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Bread crumbs, plain, grated, dry",395,13.35,5.3,71.98,4.5,6.2,0.0,0.0,0.0,0.0,Balanced
Oven-roasted chicken breast roll,134,14.59,7.65,1.79,0.0,0.43,0.0,0.0,0.0,0.0,Low-Carb
"Salad dressing, russian dressing",355,0.69,26.18,31.9,0.7,17.68,0.0,0.0,0.0,0.0,Balanced
"Oil, original, PAM cooking spray",792,0.26,78.69,20.69,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Restaurant, corn, tamale, Latino",186,3.48,7.21,26.68,3.2,7.42,0.0,0.0,0.0,0.0,Balanced
"Restaurant, pork, tamale, Latino",174,7.35,9.04,15.75,2.4,0.46,0.0,0.0,0.0,0.0,Balanced
"Fish, dry heat, cooked, mahimahi",109,23.72,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Emu, broiled, cooked, fan fillet",154,31.27,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Beans, raw, mature seeds, yellow",345,22.0,2.6,60.7,25.1,0.0,0.0,0.0,0.0,0.0,High-Fiber
"KEEBLER, Toasted Coconut Cookies",475,3.8,20.2,69.9,2.3,41.2,0.0,0.0,0.0,0.0,Balanced
"Fish, dry heat, cooked, milkfish",190,26.32,8.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Fish, dry heat, cooked, monkfish",97,18.56,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Babyfood, apple and grape, juice",46,0.1,0.2,11.34,0.1,10.9,0.0,0.0,0.0,0.0,Balanced
"Pheasant, raw, meat only, breast",133,24.37,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Burrito, frozen, bean and cheese",221,7.07,6.3,34.01,3.4,3.21,0.0,0.0,0.0,0.0,Balanced
"Potatoes, home-prepared, o'brien",81,2.35,1.28,15.47,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"MORI-NU, lite firm, silken, Tofu",37,6.3,0.8,1.1,0.0,0.45,0.0,0.0,0.0,0.0,Low-Carb
"Tofu, prepared with nigari, hard",145,12.68,9.99,4.39,0.6,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Meatballs, Italian style, frozen",286,14.4,22.21,8.06,2.3,3.47,0.0,0.0,0.0,0.0,Balanced
"Kielbasa, unheated, fully cooked",325,10.84,29.63,3.72,0.0,2.05,0.0,0.0,0.0,0.0,Balanced
"Alcoholic beverage, whiskey sour",149,0.0,0.03,13.17,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"WEND'YS, Crispy Chicken Sandwich",278,11.72,13.93,26.36,0.0,3.13,0.0,0.0,0.0,0.0,Balanced
"BURGER KING, Double Cheeseburger",282,16.83,16.13,17.43,0.0,4.17,0.0,0.0,0.0,0.0,Balanced
"SUNSHINE, BIG Crackers, CHEEZ-IT",507,11.4,26.3,57.4,2.4,0.5,0.0,0.0,0.0,0.0,Balanced
"Babyfood, junior, cherry cobbler",78,0.3,0.1,19.2,0.2,10.39,0.0,0.0,0.0,0.0,Balanced
"Danish pastry, unenriched, lemon",371,5.4,18.5,47.8,1.9,0.0,0.0,0.0,0.0,0.0,Balanced
"APPLEBEE'S, Double Crunch Shrimp",323,12.31,18.9,25.96,2.6,1.07,0.0,0.0,0.0,0.0,Balanced
"BURGER KING, french toast sticks",349,6.0,17.74,41.21,1.4,9.89,0.0,0.0,0.0,0.0,Balanced
"Mutton, roasted (Navajo), cooked",234,33.43,11.09,0.08,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Fish, raw, Atlantic, ocean perch",79,15.31,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Cereals, Dry, Quick Oats, QUAKER",371,13.7,6.87,68.18,9.4,1.42,0.0,0.0,0.0,0.0,High-Fiber
"Cookies, reduced fat, shortbread",451,5.37,14.0,75.99,1.3,21.65,0.0,0.0,0.0,0.0,Balanced
"Potatoes, drained solids, canned",60,1.41,0.21,13.61,2.3,0.0,0.0,0.0,0.0,0.0,Balanced
"T.G.I. FRIDAY'S, chicken fingers",325,18.68,20.31,16.84,0.8,0.23,0.0,0.0,0.0,0.0,Balanced
"Babyfood, apple and peach, juice",43,0.2,0.1,10.5,0.1,9.59,0.0,0.0,0.0,0.0,Balanced
"Seeds, roasted, breadfruit seeds",207,6.2,2.7,40.1,6.0,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Potato puffs, unprepared, frozen",178,1.93,8.71,24.8,2.3,0.28,0.0,0.0,0.0,0.0,Balanced
"Pie, prepared from recipe, pecan",412,4.9,22.2,52.2,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Pie, prepared from recipe, mince",289,2.6,10.8,48.0,2.6,28.31,0.0,0.0,0.0,0.0,Balanced
"Nuts, dried, japanese, chestnuts",360,5.25,1.24,81.43,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"McDONALD'S, Hotcakes and Sausage",294,7.81,12.5,37.55,1.6,7.29,0.0,0.0,0.0,0.0,Balanced
"KELLOGG'S, Original, SIMPLY EGGO",294,6.2,10.9,43.3,1.3,5.9,0.0,0.0,0.0,0.0,Balanced
"Pie, prepared from recipe, apple",265,2.4,12.5,37.1,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Beverages, root beer, carbonated",41,0.0,0.0,10.6,0.0,10.6,0.0,0.0,0.0,0.0,Balanced
"Emu, pan-broiled, cooked, ground",163,28.43,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Cheese, queso chihuahua, mexican",374,21.56,29.68,5.56,0.0,5.56,0.0,0.0,0.0,0.0,Balanced
"KEEBLER, Original Crackers, CLUB",486,5.5,22.1,66.2,1.9,8.9,0.0,0.0,0.0,0.0,Balanced
"Pears, uncooked, sulfured, dried",262,1.87,0.63,69.7,7.5,62.2,0.0,0.0,0.0,0.0,High-Fiber
"Soup, home-prepared, beef, stock",13,1.97,0.09,1.2,0.0,0.54,0.0,0.0,0.0,0.0,Low-Carb
"Soup, home-prepared, fish, stock",16,2.26,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Fish, raw, skipjack, fresh, tuna",103,22.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Noodles, cooked, somen, japanese",131,4.0,0.18,27.54,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
Cheesecake commercially prepared,321,5.5,22.5,25.5,0.4,21.8,0.0,0.0,0.0,0.0,Balanced
"Crackers, GAMESA SABROSAS, cream",484,7.01,20.37,64.55,2.4,9.37,0.0,0.0,0.0,0.0,Balanced
